Title,Author,Publisher,Genre,Sub-Genre,Year,Pages,Format,Start Date,Finish Date,Duration,Rating
The War of Art,Steven Pressfield,Black Irish Entertrainment,Nonfiction,Self Help,2012,190,Physical,,,,3.0
The Sound of the Mountain,Yasunari Kawabata,Vintage,Fiction,Cultural,1996,235,eBook,04-21-2021,05-17-2021,27,4.5
The Four Agreements,Don Miguel Ruiz,Amber-Allen Publishing,Nonfiction,Self Help,1997,140,Physical,12-16-2020,12-16-2020,1,5.0
The Art of Learning,Josh Waitzkin,Free Press,Nonfiction,Self Help,2007,288,Physical,03-30-2021,04-04-2021,6,5.0
Almond: A Novel,Won Pyung Sohn,HarperVia,Fiction,Young Adult,2017,154,eBook,08-29-2021,08-30-2021,2,5.0
The Self-Taught Programmer,Cory Althoff,Triangle Connection LLC,Science,Programming,2017,299,Physical,12-22-2021,01-23-2022,33,5.0
Hitchhiker's Guide to The Galaxy,Douglas Adams,Del Rey,Fiction,Sci-fi,2007,224,Physical,03-17-2021,03-25-2021,9,5.5
How to Win Friends & Influence People,Dale Carnegie,Simon & Schuster,Nonfiction,Self Help,2011,276,Physical,,,,5.5
The Metamorphosis,Franz Kafka,Project Gutenburg,Fiction,Classics,2005,68,eBook,04-05-2021,04-05-2021,1,6.0
Of Mice and Men,John Steinbeck,Penguin Classics,Fiction,Classics,2006,93,eBook,04-11-2021,04-12-2021,2,6.0
Normal People,Sally Rooney,Faber and Faber,Fiction,Contemporary,2019,246,eBook,10-02-2021,12-03-2021,63,6.0
Animal Farm,George Orwell,Signet Classics,Fiction,Classics,1945,85,eBook,12-06-2021,12-15-2021,10,6.0
As I Lay Dying,William Faulkner,Vintage,Fiction,Classics,1991,192,eBook,04-13-2021,04-14-2021,2,6.5
Kim Ji Young: Born 1982,Cho Nam Ju,Minumsa,Fiction,Historical Fiction,2016,110,eBook,06-16-2021,07-18-2021,33,6.5
Meditations,Marcus Aurelius,Random House Publishing Group,Philosophy,Nonfiction,2003,194,Physical,,,,6.5
Drifting House,Krys Lee,Penguin Books,Fiction,Historical Fiction,2012,224,Physical,07-27-2021,08-01-2021,6,7.0
A Farewell to Arms,Ernest Hemingway,Simon & Schuster,Fiction,Historical Fiction,1929,300,eBook,08-06-2021,08-13-2021,8,7.0
The Symposium,Plato,Penguin Classics,Philosophy,Classics,1999,95,Physical,12-21-2021,01-02-2022,13,7.0
Selected Writings & Discourses,Epictetus,Penguin Classics,Philosophy,Nonfiction,2008,276,Physical,,,,7.0
Letters From A Stoic,Seneca,Penguin Classics,Philosophy,Nonfiction,2004,254,Physical,,,,7.0
Men Without Women,Haruki Murakami,Vintage International,Fiction,Short Stories,2018,240,Physical,03-26-2021,03-30-2021,5,7.5
One Left,Kim Soom,University of Washington Press,Fiction,Historical Fiction,2020,192,eBook,02-08-2022,02-27-2022,20,7.5
Emotional Agility,Susan David,Avery Publishing Group,Psychology,Self Help,2016,288,Physical,,,,7.5
Kafka on the Shore,Haruki Murakami,Vintage,Fiction,Fantasy,2006,546,eBook,04-06-2021,04-10-2021,5,8.0
The Old Man and The Sea,Ernest Hemingway,Scribner,Fiction,Classics,1995,69,eBook,04-12-2021,04-12-2021,1,8.0
Blood Meridian,Cormac McCarthy,First Vintage International,Fiction,Historical Fiction,1992,376,eBook,09-15-2021,09-28-2021,14,8.0
Cosmos,Carl Sagan,Ballantine Books,Science,Nonfiction,2013,396,Physical,01-03-2022,01-31-2022,29,8.0
1984,George Orwell,Signet Classics,Fiction,Classics,1961,317,eBook,09-15-2020,04-11-2021,209,8.5
Never Let Me Go,Kazuo Ishiguro,Faber and Faber,Fiction,Sci-fi,2005,264,eBook,08-15-2021,08-20-2021,6,8.5
Klara and the Sun,Kazuo Ishiguro,Knopf Doubleday Publishing Group,Fiction,Sci-fi,2021,279,eBook,09-01-2021,09-05-2021,5,8.5
Norwegian Wood,Haruki Murakami,Knopf Doubleday Publishing Group,Fiction,Cultural,2000,298,Physical,,,,8.5
The Remains of The Day,Kazuo Ishiguro,Faber and Faber,Fiction,Historical Fiction,1990,218,eBook,04-15-2021,04-20-2021,6,9.0
The Rings of Saturn,W.G. Sebald,New Directions,Fiction,Historical Fiction,1998,187,eBook,08-21-2021,08-27-2021,7,9.0
