Title,cover_url
The War of Art,http://books.google.com/books/content?id=sR3hAAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
How to Win Friends & Influence People,http://books.google.com/books/content?id=aC76EAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Meditations,http://books.google.com/books/content?id=VVsmU-4YwFsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Selected Writings & Discourses,http://books.google.com/books/content?id=q7ynmOJcNdoC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Letters From A Stoic,http://books.google.com/books/content?id=9ipX0AEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Emotional Agility,http://books.google.com/books/content?id=5HLNDAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Norwegian Wood,http://books.google.com/books/content?id=1EhPf1ZptXwC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Four Agreements,http://books.google.com/books/content?id=KeFdEQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Hitchhiker's Guide to The Galaxy,http://books.google.com/books/content?id=4m0Qj9xKksYC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Men Without Women,http://books.google.com/books/content?id=mSrWDAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Art of Learning,http://books.google.com/books/content?id=XUwOtdcIWdkC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Metamorphosis,http://books.google.com/books/content?id=VTavAgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Kafka on the Shore,http://books.google.com/books/content?id=ypQHO-JWFKgC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
1984,http://books.google.com/books/content?id=4HQcMQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Of Mice and Men,http://books.google.com/books/content?id=YDP9EAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Old Man and The Sea,http://books.google.com/books/content?id=K1cIZmFe7KoC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
As I Lay Dying,http://books.google.com/books/content?id=_8hqDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Remains of The Day,http://books.google.com/books/content?id=MSurBex2xcUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Sound of the Mountain,http://books.google.com/books/content?id=AijEI_Ao7oMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Pachinko,http://books.google.com/books/content?id=cxteDAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Kim Ji Young: Born 1982,http://books.google.com/books/content?id=J5RWxQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Drifting House,http://books.google.com/books/content?id=7a2wyU00wOcC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
A Farewell to Arms,http://books.google.com/books/content?id=vy_mEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Never Let Me Go,http://books.google.com/books/content?id=qLfZf7f5_pkC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Rings of Saturn,http://books.google.com/books/content?id=kIQv6pkApKsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Almond: A Novel,http://books.google.com/books/content?id=mg6qDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Klara and the Sun,http://books.google.com/books/content?id=S7jrDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
DaVinci's Ghost,http://books.google.com/books/content?id=LPhgXJOTFZAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Blood Meridian,http://books.google.com/books/content?id=r0YRXUstZ18C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Normal People,http://books.google.com/books/content?id=fQBlDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Animal Farm,http://books.google.com/books/content?id=UCryDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Symposium,http://books.google.com/books/content?id=XtS0pZ4iiaYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Self-Taught Programmer,http://books.google.com/books/content?id=8J58tAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Cosmos,http://books.google.com/books/content?id=cDKODQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
One Left,http://books.google.com/books/content?id=I-v5DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Alchemist,http://books.google.com/books/content?id=FEL8DlqjYEkC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
The Easy Life in Kamusari,http://books.google.com/books/content?id=7mw5zgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Where The Desert Meets The Sea,http://books.google.com/books/content?id=aJ3XvAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
